pre_flow,true_flow,src_ids,dst_ids
28.129166666666666,18.0,50,54
16.33562028800124,12.0,108,226
20.666666666666668,18.0,8,118
20.041666666666668,14.0,13,224
36.3,26.0,232,241
47.4,32.0,21,33
109.5,172.0,0,39
43.63333333333333,49.0,24,114
22.779999999999998,21.0,132,233
153.8,153.0,5,77
54.4,41.0,24,31
15.820235507246377,12.0,92,226
486.73333333333335,581.0,2,30
153.2,117.0,24,38
219.9,199.0,8,22
129.06666666666666,206.0,243,244
935.4333333333333,687.0,11,49
20.454938271604938,11.0,205,226
1118.1666666666667,1255.0,1,49
165.53333333333333,113.0,205,242
35.1,27.0,12,35
38.17891156462585,48.0,30,209
82.33333333333333,74.0,11,36
15.333333333333334,12.0,38,223
30.166666666666668,19.0,152,200
85.1,67.0,133,201
43.303985507246374,71.0,212,245
22.966666666666665,15.0,18,111
20.3,12.0,72,82
3626.5666666666666,3560.0,5,63
27.39061116229308,33.0,79,87
38.04557823129252,67.0,26,209
345.96666666666664,12.0,219,241
19.633333333333333,13.0,7,113
24.566666666666666,36.0,15,216
34.166666666666664,91.0,23,47
155.1,190.0,89,201
26.388888888888893,30.0,29,227
22.180555555555554,11.0,4,130
43.4,48.0,9,133
53.666666666666664,92.0,215,241
34.6,19.0,24,97
73.0,72.0,20,51
24.896666666666665,19.0,34,114
20.433333333333334,20.0,91,136
27.933333333333334,19.0,88,214
67.53333333333333,269.0,18,108
57.9,34.0,20,77
1186.2666666666667,1915.0,3,96
20.98153735153735,35.0,50,93
121.23333333333333,148.0,101,185
23.7,19.0,1,130
17.566522449247806,22.0,38,215
34.56666666666667,20.0,83,103
29.596666666666668,12.0,41,186
25.448,24.0,20,230
22.766666666666666,13.0,28,34
420.4,687.0,9,42
879.5666666666667,1047.0,12,14
36.18611111111112,25.0,27,223
32.983333333333334,11.0,73,218
96.26666666666667,125.0,6,244
30.175,22.0,29,60
22.99565217391304,14.0,117,209
49.96666666666667,51.0,6,215
