pre_flow,true_flow,src_ids,dst_ids
20.786587514739683,19.0,19,108
49.1,56.0,8,38
61.86666666666667,55.0,15,199
27.966666666666665,19.0,158,201
36.8,36.0,7,109
18.44901404151404,14.0,73,233
93.23333333333333,101.0,3,31
28.77894736842105,28.0,7,234
23.048506208189302,13.0,54,66
38.36666666666667,20.0,15,189
1088.3333333333333,921.0,8,241
81.76666666666667,68.0,32,83
19.66785162549868,13.0,73,144
21.17142857142857,11.0,60,76
78.9,81.0,7,31
36.233333333333334,17.0,18,121
21.622936507936508,16.0,5,239
103.2,98.0,3,199
15.73149099192409,26.0,100,228
31.7,32.0,6,97
20.43888888888889,12.0,79,136
22.295,17.0,11,231
188.1,74.0,199,200
26.240476190476194,29.0,136,227
27.933333333333334,15.0,19,25
15.019533583167835,11.0,21,224
27.539726631393297,27.0,64,108
25.033333333333335,30.0,209,223
55.266666666666666,63.0,3,114
74.16666666666667,81.0,200,215
36.166666666666664,22.0,31,49
59.4,34.0,26,40
22.038095238095238,16.0,95,242
44.8,58.0,5,97
100.2,90.0,2,84
25.0,27.0,66,107
20.32326797385621,15.0,11,105
202.66666666666666,207.0,34,132
32.86666666666667,19.0,64,83
32.8,17.0,5,120
56.92222222222222,55.0,7,110
20.995567790251766,11.0,34,137
28.95,21.0,225,241
2839.5666666666666,2583.0,3,24
24.833333333333332,23.0,23,209
15.945334906596635,13.0,204,230
399.06666666666666,795.0,11,20
23.243333333333332,22.0,13,66
16.722149255998435,18.0,72,216
67.83333333333333,40.0,24,36
33.86666666666667,58.0,185,244
21.150370370370368,21.0,59,214
37.333333333333336,34.0,57,132
18.338233465407377,11.0,14,225
16.06922913343966,12.0,15,168
22.768796296296298,15.0,22,236
14.753012861058401,14.0,35,72
27.0,14.0,10,27
31.319999999999997,20.0,19,91
26.017313797313793,17.0,42,224
59.40909090909091,39.0,226,228
1001.9,1033.0,200,205
23.0,15.0,31,185
31.073333333333334,26.0,8,59
44.06666666666667,53.0,11,215
32.38333333333333,11.0,151,241
17.46794871794872,11.0,10,204
169.73333333333332,148.0,1,19
401.93333333333334,404.0,49,78
20.31904761904762,12.0,129,136
16.97173529637298,11.0,54,91
40.93333333333333,39.0,66,83
47.9375,14.0,80,221
